fight_url,event_name,date,location,f1_name,f1_result,f2_name,f2_result,weight_class,method,round,time,time_format,referee,judging_details,f1_fighter_total,f2_fighter_total,f1_kd_total,f2_kd_total,f1_sig_str_total,f2_sig_str_total,f1_sig_str_pct_total,f2_sig_str_pct_total,f1_total_str_total,f2_total_str_total,f1_td_pct_total,f2_td_pct_total,f1_sub_att_total,f2_sub_att_total,f1_rev_total,f2_rev_total,f1_ctrl_total,f2_ctrl_total,f1_head_sig,f2_head_sig,f1_body_sig,f2_body_sig,f1_leg_sig,f2_leg_sig,f1_distance_sig,f2_distance_sig,f1_clinch_sig,f2_clinch_sig,f1_ground_sig,f2_ground_sig
http://ufcstats.com/fight-details/423f32dd018ac218,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Song Yadong,,Deiveson Figueiredo,,Bantamweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/a23d84f15207e459,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Zhang Mingyang,,Alonzo Menifield,,Light Heavyweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/f74e4afdf6ae29d1,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Sergei Pavlovich,,Tallison Teixeira,,Heavyweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/00959e29e4a10e26,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Kai Asakura,,Cameron Smotherman,,Bantamweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/b007aa53eadea847,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Muslim Salikhov,,Jake Matthews,,Welterweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/7e8749cbf32ef1f8,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Alex Perez,,Sumudaerji,,Flyweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/f6d09973de0f83e7,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Yi Sak Lee,,Luis Felipe Dias,,Middleweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/bc0b3c16246e0d1d,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Ding Meng,,Jose Henrique,,Welterweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/3bc0190fb17ba42f,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Aoriqileng,,Cody Haddon,,Bantamweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/a3d176f12b1f0b86,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Rei Tsuruya,,Jesus Aguilar,,Flyweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/3f719885c9916e06,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Angela Hill,,Xiong Jingnan,,Women's Strawweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/b6829142f42a75dc,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Zhu Kangjie,,Ramon Taveras,,Featherweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/370ff29489150560,UFC Fight Night: Song vs. Figueiredo,"May 30, 2026","Macau, China",Loma Lookboonmee,,Jaqueline Amorim,,Women's Strawweight Bout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
